frame_id	pos_x	pos_y	yaw	dx	dy	speed	z
0.0	49.412598806400005	8.39948104279999	2.9102340335600068	-4.393733136000001	1.035062133000011	4.514005371015296	0
0.4	47.655105552	8.813505895999995	2.9102340335600068	-4.393733136000001	1.035062133000011	4.514005371015296	0
1.4	43.261372416	9.848568029000006	3.011189345700662	-5.154186948000003	0.6759589439999871	5.198323151642957	0
2.4	38.107185468	10.524526972999993	3.0394899288265886	-5.154186947999997	0.5280929250000099	5.1811702570335	0
3.4	32.95299852	11.052619898000003	3.0111893457006595	-5.1541869479999995	0.6759589440000013	5.198323151642955	0
4.4	27.798811572	11.728578842000005	2.391145286722999	-3.126310116000003	2.915072945999995	4.274513448558215	0
5.4	24.672501456	14.643651788	2.0543528094214345	-1.9856293980000004	3.7811453430000057	4.27080603763417	0
6.4	22.686872058	18.424797131000005	2.184003675669406	-2.408103737999998	3.422042153999996	4.1844158632624575	0
7.3999999999999995	20.27876832	21.846839285	2.5299351570992816	-3.041815248000002	2.133495416999999	3.7154330430415934	0
8.4	17.236953072	23.980334702	3.009305252295958	-5.238681815999998	0.697082660999996	5.284856800856185	0
9.4	11.998271256	24.677417362999996	3.141592653589793	-6.252620232000001	-0.0	6.252620232000001	0
10.4	5.745651024	24.677417362999996	3.141592653589793	-6.252620232000001	-0.0	6.252620232000001	0
