track_id label
110 Biker
111 Biker
113 Pedestrian
116 Pedestrian
117 Biker
118 Biker
119 Biker
120 Biker
121 Car
122 Pedestrian
123 Pedestrian
124 Pedestrian
125 Biker
126 Pedestrian
127 Biker
129 Pedestrian
130 Pedestrian
131 Biker
132 Pedestrian
133 Biker
134 Biker
135 Pedestrian
136 Cart
137 Pedestrian
138 Biker
140 Biker
141 Biker
146 Pedestrian
148 Pedestrian
149 Pedestrian
150 Pedestrian
151 Biker
152 Biker
153 Biker
154 Biker
155 Biker
156 Pedestrian
157 Biker
158 Pedestrian
159 Pedestrian
161 Biker
163 Pedestrian
167 Pedestrian
232 Pedestrian
