frame_id	pos_x	pos_y	yaw	dx	dy	z
0.0	56.667257301399985	28.59040419860005	3.080635403500221	-3.6758818994999984	0.22434959949999467	0
9.2	22.849143826	30.654420514	3.080635403500221	-3.6758818994999984	0.22434959949999467	0
10.2	19.1732619265	30.878770113499996	3.103696113750954	-3.6413665764999994	0.13806129200000328	0
11.2	15.531895350000001	31.0168314055	3.3803369835225814	-3.261698023500001	-0.7938524289999975	0
12.2	12.2701973265	30.222978976500002	3.448517276247423	-3.1581520545000004	-1.0009443670000024	0
13.2	9.112045272	29.2220346095	3.451696480051044	-3.1236367314999995	-1.0009443670000024	0
14.2	5.9884085405	28.221090242499997	3.141592653589793	-3.7794278685	-0.0	0
15.2	2.208980672	28.221090242499997	3.594564511603143	-1.9501157495	-0.9491713824999977	0
16.2	0.2588649225	27.27191886	6.283185307179586	0.06903064600000003	-0.0	0
17.2	0.3278955685	27.27191886	6.283185307179586	0.10354596900000002	-0.0	0
18.2	0.4314415375	27.27191886	6.283185307179586	0.10354596900000002	-0.0	0
19.2	0.5349875065	27.27191886	6.283185307179586	0.06903064599999999	-0.0	0
20.2	0.6040181525	27.27191886	7.192938465123796	0.12080363049999998	0.15531895350000013	0
21.2	0.724821783	27.4272378135	6.283185307179586	0.10354596900000002	-0.0	0
22.2	0.828367752	27.4272378135	6.283185307179586	0.10354596900000002	-0.0	0
23.2	0.931913721	27.4272378135	7.210480525181185	0.10354596899999992	0.13806129199999617	0
24.2	1.03545969	27.565299105499996	6.283185307179586	0.10354596900000002	-0.0	0
25.2	1.139005659	27.565299105499996	6.283185307179586	0.10354596900000002	-0.0	0
26.2	1.242551628	27.565299105499996	6.283185307179586	0.10354596900000002	-0.0	0
